MMSI: 200000000, Ship Type: Tanker
MMSI: 200000001, Ship Type: Unknown
MMSI: 203247191, Ship Type: Sailing vessel
MMSI: 205210000, Ship Type: Other type
MMSI: 209056000, Ship Type: Cargo ship
MMSI: 209114000, Ship Type: Cargo ship
MMSI: 209151000, Ship Type: Cargo ship
MMSI: 209183000, Ship Type: Passenger ship
MMSI: 209239000, Ship Type: Cargo ship
MMSI: 209318000, Ship Type: Cargo ship
MMSI: 209336000, Ship Type: Cargo ship
MMSI: 209356000, Ship Type: Tanker (HAZ-D)
MMSI: 209392000, Ship Type: Passenger ship
MMSI: 209415000, Ship Type: Tanker (HAZ-A)
MMSI: 209530000, Ship Type: Cargo ship
MMSI: 209531000, Ship Type: Cargo ship
MMSI: 209535000, Ship Type: Cargo ship
MMSI: 209536000, Ship Type: Cargo ship
MMSI: 209621000, Ship Type: Cargo ship (HAZ-A)
MMSI: 209762000, Ship Type: Cargo ship
MMSI: 209764000, Ship Type: Passenger ship
MMSI: 209864000, Ship Type: Passenger ship
MMSI: 209867000, Ship Type: Passenger ship
MMSI: 209903000, Ship Type: Cargo ship
MMSI: 209974000, Ship Type: Cargo ship
MMSI: 209982000, Ship Type: Cargo ship
MMSI: 210046000, Ship Type: Cargo ship
MMSI: 210056000, Ship Type: Tanker
MMSI: 210071000, Ship Type: Cargo ship
MMSI: 210095000, Ship Type: Passenger ship
MMSI: 210144000, Ship Type: Tanker
MMSI: 210155000, Ship Type: Tanker
MMSI: 210174000, Ship Type: Passenger ship
MMSI: 210307000, Ship Type: Cargo ship
MMSI: 210336000, Ship Type: Tanker (HAZ-B)
MMSI: 210350000, Ship Type: Cargo ship
MMSI: 210359000, Ship Type: Cargo ship (HAZ-A)
MMSI: 210382000, Ship Type: Cargo ship
MMSI: 210399000, Ship Type: Passenger ship
MMSI: 210425000, Ship Type: Passenger ship
MMSI: 210510000, Ship Type: Passenger ship
MMSI: 210552000, Ship Type: Cargo ship
MMSI: 210553000, Ship Type: Cargo ship
MMSI: 210731000, Ship Type: Cargo ship
MMSI: 210935000, Ship Type: Cargo ship
MMSI: 211101000, Ship Type: Fishing vessel
MMSI: 211138490, Ship Type: Cargo ship
MMSI: 211159000, Ship Type: Fishing vessel
MMSI: 211179240, Ship Type: Law enforcment
MMSI: 211187510, Ship Type: Pilot
MMSI: 211188000, Ship Type: Passenger ship
MMSI: 211190000, Ship Type: Passenger ship
MMSI: 211202400, Ship Type: Cargo ship
MMSI: 211202570, Ship Type: Other type
MMSI: 211207990, Ship Type: Law enforcment
MMSI: 211212200, Ship Type: Other type
MMSI: 211212220, Ship Type: Military ops
MMSI: 211212690, Ship Type: Military ops
MMSI: 211212700, Ship Type: Military ops
MMSI: 211214250, Ship Type: Dredging or UW ops
MMSI: 211216490, Ship Type: Tug
MMSI: 211216500, Ship Type: Tug
MMSI: 211219990, Ship Type: Anti-polution
MMSI: 211222290, Ship Type: Unknown
MMSI: 211222710, Ship Type: Tug
MMSI: 211222960, Ship Type: Passenger ship
MMSI: 211223210, Ship Type: Law enforcment
MMSI: 211224320, Ship Type: Law enforcment
MMSI: 211224560, Ship Type: Dredging or UW ops
MMSI: 211255580, Ship Type: Passenger ship
MMSI: 211264530, Ship Type: Other type
MMSI: 211264670, Ship Type: Other type
MMSI: 211265610, Ship Type: Pilot
MMSI: 211269660, Ship Type: HSC
MMSI: 211277080, Ship Type: Unknown
MMSI: 211282410, Ship Type: Fishing vessel
MMSI: 211286440, Ship Type: Cargo ship
MMSI: 211291160, Ship Type: Passenger ship
MMSI: 211291170, Ship Type: Passenger ship
MMSI: 211292150, Ship Type: Other type
MMSI: 211294830, Ship Type: Other type
MMSI: 211314800, Ship Type: Fishing vessel
MMSI: 211316900, Ship Type: Fishing vessel
MMSI: 211318980, Ship Type: SAR
MMSI: 211319670, Ship Type: Fishing vessel
MMSI: 211352570, Ship Type: Sailing vessel
MMSI: 211356520, Ship Type: Law enforcment
MMSI: 211363300, Ship Type: Fishing vessel
MMSI: 211364330, Ship Type: Fishing vessel
MMSI: 211379770, Ship Type: Passenger ship
MMSI: 211388680, Ship Type: Fishing vessel
MMSI: 211390900, Ship Type: SAR
MMSI: 211404810, Ship Type: Law enforcment
MMSI: 211405010, Ship Type: SAR
MMSI: 211410690, Ship Type: Fishing vessel
MMSI: 211413470, Ship Type: Fishing vessel
MMSI: 211415000, Ship Type: Fishing vessel
MMSI: 211416000, Ship Type: Fishing vessel
MMSI: 211440370, Ship Type: Passenger ship
MMSI: 211445190, Ship Type: Passenger ship
MMSI: 211462260, Ship Type: Other type
MMSI: 211493380, Ship Type: Passenger ship
MMSI: 211514540, Ship Type: Pilot
MMSI: 211517200, Ship Type: Fishing vessel
MMSI: 211533730, Ship Type: Pilot
MMSI: 211543450, Ship Type: Passenger ship
MMSI: 211548430, Ship Type: Law enforcment
MMSI: 211551940, Ship Type: Passenger ship
MMSI: 211552000, Ship Type: Fishing vessel
MMSI: 211590700, Ship Type: Passenger ship
MMSI: 211594520, Ship Type: Passenger ship
MMSI: 211594530, Ship Type: Passenger ship
MMSI: 211609560, Ship Type: Other type
